,PNR_Number,Train_Number,Date_of_Journey,Class_of_Travel,Quota,Source_Station,Destination_Station,Booking_Date,Current_Status,Number_of_Passengers,Age_of_Passengers,Booking_Channel,Travel_Distance,Number_of_Stations,Travel_Time,Train_Type,Seat_Availability,Special_Considerations,Holiday_or_Peak_Season,Waitlist_Position,Booking_Status,Waiting_Num,Distance,Final_Status
0,PNR0000000000,51450,9/1/2024,3AC,General,NDLS,CSMT,1/1/2024,Confirmed,4,Child,Counter,1656,17,37,Shatabdi,1272,Senior Citizen,Yes,,Confirmed,0,0.529447441,CNF
1,PNR0000000001,54807,9/2/2024,3AC,Premium Tatkal,MMCT,LTT,1/2/2024,Waitlisted,5,Senior Citizen,Mobile App,1932,18,6,Shatabdi,2472,,Yes,WL097,Not Confirmed,97,2.300282329,CAN
2,PNR0000000002,14396,9/3/2024,3AC,Ladies,GKP,BBS,1/3/2024,RAC,5,Adult,IRCTC Website,155,4,17,Express,1144,,Yes,,Confirmed,0,0.418525728,CNF
3,PNR0000000003,20295,9/4/2024,3AC,Ladies,ASR,KOAA,1/4/2024,Waitlisted,1,Senior Citizen,Counter,1840,5,16,Superfast,2048,Senior Citizen,No,WL011,Not Confirmed,11,1.185585027,CNF
4,PNR0000000004,48598,9/5/2024,2AC,Tatkal,MAS,SBC,1/5/2024,Confirmed,3,Child,Mobile App,1766,9,32,Express,464,,Yes,,Confirmed,0,0.17074587,CNF
5,PNR0000000005,79825,9/6/2024,2AC,Premium Tatkal,KOAA,MMCT,1/6/2024,RAC,2,Senior Citizen,Mobile App,721,16,30,Express,1784,Defense Quota,Yes,,Confirmed,0,0.184779685,CNF
6,PNR0000000006,95438,9/7/2024,Sleeper,General,ASR,PNBE,1/7/2024,RAC,4,Senior Citizen,IRCTC Website,1115,3,35,Superfast,2048,Senior Citizen,Yes,,Confirmed,0,0.043996348,CNF
7,PNR0000000007,55096,9/8/2024,1AC,Ladies,SC,JHS,1/8/2024,Confirmed,5,Senior Citizen,Mobile App,50,3,36,Rajdhani,2992,Defense Quota,No,,Confirmed,0,0.297114622,CNF
8,PNR0000000008,66367,9/9/2024,1AC,Tatkal,LTT,GKP,1/9/2024,RAC,1,Senior Citizen,Mobile App,129,6,2,Rajdhani,496,,No,,Confirmed,0,0.143015442,CNF
9,PNR0000000009,49309,9/10/2024,1AC,Premium Tatkal,LKO,MAS,1/10/2024,Confirmed,1,Adult,IRCTC Website,1093,5,7,Superfast,2504,,Yes,,Confirmed,0,0.439154949,CNF
