waiting_num,holiday_or_peak_season,journey_month,target,holiday_waiting_interaction
0,1,9,1,0
97,1,9,0,97
0,1,9,1,0
11,0,9,1,0
0,1,9,1,0
0,1,9,1,0
0,1,9,1,0
0,0,9,1,0
0,0,9,1,0
0,1,9,1,0
65,1,9,0,65
0,0,9,1,0
0,1,9,1,0
0,1,9,1,0
0,0,9,1,0
0,0,9,1,0
0,1,9,1,0
26,0,9,1,0
86,0,9,0,0
127,1,9,0,127
0,0,9,1,0
86,0,9,0,0
0,0,9,1,0
84,0,9,1,0
0,1,9,1,0
0,1,9,1,0
28,1,9,1,28
0,1,9,1,0
55,1,9,1,55
0,0,9,1,0
0,0,10,1,0
129,1,10,0,129
116,1,10,0,116
183,0,10,0,0
116,1,10,0,116
0,0,10,1,0
0,0,10,1,0
0,0,10,1,0
136,1,10,0,136
0,0,10,1,0
32,0,10,1,0
0,1,10,1,0
0,0,10,1,0
0,0,10,1,0
0,1,10,1,0
0,1,10,1,0
0,0,10,1,0
0,1,10,1,0
0,1,10,1,0
0,1,10,1,0
0,1,10,1,0
0,0,10,1,0
0,1,10,1,0
166,1,10,0,166
0,0,10,1,0
107,0,10,1,0
0,1,10,1,0
0,1,10,1,0
0,1,10,0,0
185,0,10,0,0
13,1,10,1,13
0,0,11,1,0
0,1,11,1,0
0,0,11,1,0
0,0,11,1,0
111,1,11,0,111
45,0,11,1,0
0,1,11,1,0
50,0,11,1,0
0,1,11,0,0
0,0,11,1,0
194,0,11,0,0
0,0,11,1,0
155,0,11,0,0
0,0,11,1,0
0,0,11,1,0
0,1,11,1,0
0,0,11,1,0
0,0,11,1,0
155,1,11,0,155
0,1,11,1,0
0,1,11,1,0
198,1,11,0,198
117,1,11,0,117
0,1,11,1,0
0,1,11,1,0
0,0,11,1,0
0,0,11,1,0
109,0,11,0,0
66,1,11,1,66
0,1,11,1,0
0,0,12,1,0
0,0,12,1,0
0,1,12,1,0
198,0,12,0,0
72,1,12,1,72
0,1,12,1,0
0,0,12,1,0
107,0,12,0,0
54,0,12,1,0
0,0,12,1,0
52,1,12,1,52
198,0,12,0,0
166,0,12,0,0
3,0,12,1,0
0,0,12,1,0
0,1,12,1,0
106,1,12,0,106
108,0,12,0,0
0,0,12,1,0
73,1,12,1,73
0,0,12,1,0
0,0,12,0,0
0,0,12,1,0
170,1,12,1,170
123,0,12,0,0
0,1,12,1,0
72,1,12,1,72
0,0,12,1,0
0,1,12,1,0
99,0,12,1,0
163,1,12,0,163
0,0,1,1,0
0,0,1,1,0
12,0,1,1,0
0,0,1,1,0
185,1,1,0,185
0,0,1,1,0
174,0,1,0,0
0,1,1,1,0
41,1,1,1,41
42,0,1,1,0
0,1,1,1,0
0,1,1,1,0
89,1,1,1,89
0,1,1,1,0
125,0,1,0,0
140,0,1,0,0
0,1,1,1,0
0,0,1,1,0
0,0,1,1,0
0,0,1,1,0
0,0,1,1,0
0,0,1,1,0
0,1,1,1,0
186,0,1,0,0
0,1,1,1,0
0,0,1,1,0
0,1,1,1,0
0,1,1,1,0
0,0,1,1,0
95,0,1,0,0
33,0,1,1,0
0,0,2,1,0
74,0,2,1,0
0,1,2,1,0
111,1,2,0,111
0,1,2,1,0
0,0,2,0,0
48,1,2,1,48
0,1,2,1,0
17,0,2,1,0
0,1,2,1,0
42,0,2,1,0
113,1,2,0,113
0,1,2,1,0
0,0,2,1,0
0,1,2,1,0
0,0,2,1,0
0,0,2,0,0
0,1,2,1,0
0,1,2,1,0
0,0,2,1,0
0,0,2,1,0
0,0,2,1,0
113,0,2,0,0
0,0,2,1,0
0,0,2,1,0
0,0,2,1,0
0,0,2,1,0
0,1,2,1,0
0,1,3,1,0
86,0,3,0,0
0,1,3,1,0
119,0,3,1,0
0,0,3,1,0
68,0,3,1,0
0,1,3,1,0
0,0,3,1,0
19,1,3,1,19
0,0,3,1,0
0,1,3,1,0
0,0,3,1,0
0,0,3,1,0
50,1,3,1,50
0,1,3,1,0
0,0,3,1,0
0,1,3,1,0
15,1,3,1,15
0,0,3,1,0
0,0,3,1,0
0,0,3,1,0
0,0,3,0,0
60,0,3,1,0
66,1,3,1,66
0,0,3,0,0
60,0,3,0,0
28,0,3,1,0
0,1,3,1,0
0,0,3,1,0
0,0,3,1,0
0,0,3,1,0
0,0,4,1,0
0,0,4,1,0
0,0,4,1,0
117,1,4,0,117
0,1,4,1,0
0,0,4,1,0
0,0,4,1,0
119,0,4,0,0
124,0,4,0,0
0,1,4,0,0
0,1,4,1,0
188,0,4,0,0
0,0,4,1,0
0,1,4,1,0
0,1,4,1,0
102,0,4,0,0
0,0,4,1,0
0,1,4,1,0
0,1,4,1,0
0,1,4,1,0
0,0,4,1,0
0,0,4,1,0
0,0,4,0,0
0,0,4,1,0
0,0,4,1,0
0,0,4,1,0
0,0,4,1,0
0,0,4,1,0
0,1,4,1,0
109,0,4,0,0
0,0,5,1,0
67,0,5,1,0
102,1,5,1,102
0,0,5,1,0
109,1,5,0,109
0,0,5,1,0
0,0,5,1,0
